Default,Str,Sta,Dex,Spd,Int,Spr
Head,0,16.66,0,0,100,100
Body,50,16.66,50,50,0,0
Arm,25,16.66,12.5,12.5,0,0
Leg,25,16.66,12.5,12.5,0,0
Tail,0,16.66,0,0,0,0
Wing,0,16.66,0,0,0,0
Default_Power,/,/,/,/,/,/
Head,10,16.66,10,10,100,100
Body,45,16.66,45,45,0,0
Arm,22.5,16.66,22.5,22.5,0,0
Leg,22.5,16.66,22.5,22.5,0,0
Tail,0,16.66,0,0,0,0
Wing,0,16.66,0,0,0,0
Default_Tail,/,/,/,/,/,/
Head,8,16.66,8,8,100,100
Body,45,16.66,45,45,0,0
Arm,22.5,16.66,22.5,22.5,0,0
Leg,22.5,16.66,22.5,22.5,0,0
Tail,2,16.66,2,2,0,0
Wing,0,16.66,0,0,0,0
